year,car_sst
1979,27.867762
1980,28.221443
1981,28.15983
1982,27.788523
1983,28.241982
1984,27.660927
1985,27.864174
1986,27.781752
1987,28.258577
1988,28.250977
1989,27.67826
1990,27.762321
1991,27.858946
1992,27.79917
1993,27.947685
1994,27.918837
1995,28.217045
1996,27.624046
1997,28.007172
1998,28.542572
1999,28.02255
2000,27.765205
2001,27.859879
2002,27.958239
2003,28.112576
2004,27.870707
2005,28.669926
2006,28.22757
2007,28.415815
2008,27.919044
2009,27.988716
2010,28.645046
2011,28.21116
2012,28.183859
2013,27.863281
2014,28.272118
2015,28.293528
2016,28.848467
2017,28.465782
2018,28.158754
2019,28.27268
2020,28.826988
2021,28.310472
2022,28.221931
2023,28.91453
2024,29.254835
