time,cllj
1979,-10.567054
1980,-12.6335335
1981,-10.76418
1982,-12.578611
1983,-12.191938
1984,-12.147345
1985,-12.807574
1986,-12.196479
1987,-11.71765
1988,-10.539083
1989,-12.958414
1990,-13.128596
1991,-13.229337
1992,-12.425771
1993,-11.758886
1994,-13.4915495
1995,-11.239077
1996,-12.228866
1997,-12.987528
1998,-11.677821
1999,-11.080094
2000,-12.358069
2001,-11.783471
2002,-12.827116
2003,-13.17743
2004,-12.950032
2005,-9.534863
2006,-11.560636
2007,-11.422023
2008,-11.80834
2009,-12.278789
2010,-9.651866
2011,-9.888068
2012,-12.412964
2013,-12.37354
2014,-13.66547
2015,-14.764837
2016,-12.77158
2017,-12.718568
2018,-13.758397
2019,-13.343454
2020,-12.149068
2021,-12.718288
2022,-12.6015835
2023,-11.72063
2024,-11.359701
