time,tna_prcp
1979-01-01,3.5403425693511963
1980-01-01,3.070086717605591
1981-01-01,3.598822593688965
1982-01-01,3.3374955654144287
1983-01-01,3.3926546573638916
1984-01-01,3.1128580570220947
1985-01-01,2.5462849140167236
1986-01-01,2.9233767986297607
1987-01-01,3.411198616027832
1988-01-01,3.068681001663208
1989-01-01,2.5484118461608887
1990-01-01,2.9713022708892822
1991-01-01,2.285507917404175
1992-01-01,3.364213228225708
1993-01-01,3.3009731769561768
1994-01-01,2.532984495162964
1995-01-01,3.1669998168945312
1996-01-01,3.18023943901062
1997-01-01,3.045670509338379
1998-01-01,3.4597394466400146
1999-01-01,2.8041210174560547
2000-01-01,2.872140645980835
2001-01-01,2.6266796588897705
2002-01-01,2.6974356174468994
2003-01-01,3.065778970718384
2004-01-01,3.218665838241577
2005-01-01,4.015085220336914
2006-01-01,3.2712223529815674
2007-01-01,3.1488664150238037
2008-01-01,2.883587121963501
2009-01-01,2.4742631912231445
2010-01-01,3.834357976913452
2011-01-01,3.4252989292144775
2012-01-01,2.97780704498291
2013-01-01,3.0610268115997314
2014-01-01,2.4175493717193604
2015-01-01,2.641751289367676
2016-01-01,3.0631492137908936
2017-01-01,3.485384941101074
2018-01-01,2.428682327270508
2019-01-01,2.763293504714966
2020-01-01,3.086893081665039
2021-01-01,2.8671748638153076
2022-01-01,3.24353289604187
2023-01-01,3.4900734424591064
2024-01-01,3.747467041015625
