time,tna_rsst
1979-01-01,-0.5647811889648438
1980-01-01,-0.4758516848087311
1981-01-01,-0.49586549401283264
1982-01-01,-0.8553587794303894
1983-01-01,-0.829949676990509
1984-01-01,-0.9530207514762878
1985-01-01,-0.7836125493049622
1986-01-01,-1.0936208963394165
1987-01-01,-0.6167984008789062
1988-01-01,-0.47966766357421875
1989-01-01,-0.8271872401237488
1990-01-01,-0.8140106201171875
1991-01-01,-1.2452691793441772
1992-01-01,-1.0130380392074585
1993-01-01,-0.9163869023323059
1994-01-01,-1.1398544311523438
1995-01-01,-0.5262953639030457
1996-01-01,-0.8209228515625
1997-01-01,-0.7553507685661316
1998-01-01,-0.6949272155761719
1999-01-01,-0.6018860936164856
2000-01-01,-0.7672500610351562
2001-01-01,-0.8053181767463684
2002-01-01,-1.2604528665542603
2003-01-01,-0.8547267913818359
2004-01-01,-0.7044951319694519
2005-01-01,-0.09165827184915543
2006-01-01,-0.6445579528808594
2007-01-01,-0.7563323974609375
2008-01-01,-0.48792457580566406
2009-01-01,-1.0916467905044556
2010-01-01,-0.05460548400878906
2011-01-01,-0.3283335268497467
2012-01-01,-0.6575050354003906
2013-01-01,-0.5398152470588684
2014-01-01,-1.11056387424469
2015-01-01,-1.1845556497573853
2016-01-01,-0.8680152893066406
2017-01-01,-0.5713100433349609
2018-01-01,-1.2659530639648438
2019-01-01,-1.0281797647476196
2020-01-01,-0.5560321807861328
2021-01-01,-0.767410933971405
2022-01-01,-0.5544910430908203
2023-01-01,-0.1149749755859375
2024-01-01,-0.13615863025188446
