time,tna_sst
1979-01-01,26.509862899780273
1980-01-01,26.67978858947754
1981-01-01,26.535232543945312
1982-01-01,26.272260665893555
1983-01-01,26.515615463256836
1984-01-01,26.022401809692383
1985-01-01,26.096174240112305
1986-01-01,25.968191146850586
1987-01-01,26.800811767578125
1988-01-01,26.703292846679688
1989-01-01,26.180908203125
1990-01-01,26.373611450195312
1991-01-01,26.060327529907227
1992-01-01,26.222986221313477
1993-01-01,26.299673080444336
1994-01-01,25.96702003479004
1995-01-01,26.763269424438477
1996-01-01,26.327110290527344
1997-01-01,26.57586097717285
1998-01-01,26.808820724487305
1999-01-01,26.37872886657715
2000-01-01,26.20819664001465
2001-01-01,26.45191764831543
2002-01-01,26.126604080200195
2003-01-01,26.473981857299805
2004-01-01,26.485849380493164
2005-01-01,27.27193260192871
2006-01-01,26.68309783935547
2007-01-01,26.537519454956055
2008-01-01,26.64638328552246
2009-01-01,26.4205379486084
2010-01-01,27.426071166992188
2011-01-01,26.84334373474121
2012-01-01,26.637117385864258
2013-01-01,26.739858627319336
2014-01-01,26.403358459472656
2015-01-01,26.488372802734375
2016-01-01,26.8604679107666
2017-01-01,27.031312942504883
2018-01-01,26.09906768798828
2019-01-01,26.58905792236328
2020-01-01,27.081710815429688
2021-01-01,26.618837356567383
2022-01-01,26.718652725219727
2023-01-01,27.689903259277344
2024-01-01,27.719247817993164
