time,tna_u925
1979-01-01,-5.257238864898682
1980-01-01,-5.427644729614258
1981-01-01,-5.072443008422852
1982-01-01,-5.803617000579834
1983-01-01,-5.7632670402526855
1984-01-01,-5.83197546005249
1985-01-01,-5.378646373748779
1986-01-01,-5.72417688369751
1987-01-01,-5.585986614227295
1988-01-01,-5.296469211578369
1989-01-01,-5.653304576873779
1990-01-01,-5.683483123779297
1991-01-01,-5.747286319732666
1992-01-01,-5.49800443649292
1993-01-01,-5.448273181915283
1994-01-01,-5.751504898071289
1995-01-01,-4.966119289398193
1996-01-01,-5.7266387939453125
1997-01-01,-5.895199298858643
1998-01-01,-5.277320384979248
1999-01-01,-5.331848621368408
2000-01-01,-5.862899303436279
2001-01-01,-5.636970043182373
2002-01-01,-6.283083438873291
2003-01-01,-5.864469051361084
2004-01-01,-5.798482894897461
2005-01-01,-4.729443073272705
2006-01-01,-5.438509464263916
2007-01-01,-5.342208385467529
2008-01-01,-5.364461421966553
2009-01-01,-5.660861492156982
2010-01-01,-5.3151984214782715
2011-01-01,-5.003017902374268
2012-01-01,-5.2902913093566895
2013-01-01,-5.852688312530518
2014-01-01,-5.819936752319336
2015-01-01,-6.0311408042907715
2016-01-01,-5.4445013999938965
2017-01-01,-5.288566589355469
2018-01-01,-6.027235507965088
2019-01-01,-5.422226428985596
2020-01-01,-5.375804424285889
2021-01-01,-5.934390544891357
2022-01-01,-5.630865097045898
2023-01-01,-4.807857990264893
2024-01-01,-4.965526103973389
